Sr no,Menu Name,Stage 1,,,Stage 2,,,Stage3,,,Stage4,,,Stage5,,,Comp On/Off,Active,HACCP Color,Image
,,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,,,,
77,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
78,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
79,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
80,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
81,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
82,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
83,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
84,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
85,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
86,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
87,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
88,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
89,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
90,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
91,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
92,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
93,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
94,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
95,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
96,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
97,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
98,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
99,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
100,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
